net,length_um
_0530_,52.865
_1114_,51.6
_0953_,51.4
_1201_,50.42
_0647_,50.08
_0822_,49.62
_0694_,49.54
_0838_,48.76
_0770_,48.64
_0962_,48.22
_0743_,47.64
_0930_,47.56
_0744_,47.44
_0906_,47.1
_0960_,47.1
_0821_,46.82
ram\[35\]\[1\],46.72
_0571_,46.18
_0768_,45.74
_1266_,44.8
clknet_leaf_24_clk,44.52
_0878_,44.38
_0701_,44.34
_0919_,44.26
_0837_,44.22
_0851_,44.22
_0687_,44.18
_1125_,44.12
_1017_,43.92
_0648_,43.28
_0689_,42.92
_0552_,42.84
_0797_,42.06
_0911_,41.96
_0712_,41.54
_0976_,41.36
_0824_,40.66
_0905_,40.54
_0760_,40.38
_0674_,40.2
_0660_,39.56
_0784_,39.02
_0667_,39
_1033_,38.84
_1002_,38.44
_0917_,38.08
_1092_,37.7
ram\[50\]\[1\],37.48
_0719_,37.1
_1053_,37
_0616_,36.9
_1113_,36.61
_0613_,36.52
_0729_,36.18
_0656_,35.6
_0995_,35.58
_0885_,34.92
_0875_,34.68
_0915_,34.6
_0871_,34.46
ram\[36\]\[3\],34.38
_0835_,33.9
_0781_,33.42
_0612_,33.4
_1159_,33.34
_0631_,33.18
_0980_,32.92
_1238_,32.8
_1089_,32.46
_0714_,32.26
_0639_,32.16
_1019_,31.98
_0889_,31.94
_0757_,31.9
_0811_,31.87
_0704_,31.8
_0609_,31.6
_0670_,31.44
_0594_,31.12
ram\[38\]\[1\],30.96
_0937_,30.9
_0586_,30.7
_0803_,30.56
_0948_,30.56
_1005_,30.52
ram\[51\]\[6\],30.38
_0971_,30.04
_1183_,30.02
_0984_,29.8
_0708_,29.62
_0659_,29.555
ram\[35\]\[2\],29.36
_0892_,29.3
_0842_,29.16
_1348_,29.12
_0579_,28.7
_0724_,28.66
ram\[51\]\[7\],28.62
q[1],28.59
_1039_,28.54
_0806_,28.24
ram\[61\]\[3\],28.18
_0599_,27.8
_0982_,27.68
_0745_,27.66
ram\[20\]\[6\],27.64
_0589_,27.5
_0696_,27.32
_1072_,27.2
_0945_,27.02
_1037_,27
_1091_,26.9
_0678_,26.88
ram\[52\]\[7\],26.86
_0794_,26.4
_0643_,26.22
ram\[18\]\[3\],26.075
_0721_,26.04
_0566_,25.86
_1049_,25.52
_0746_,25.38
_0896_,25.26
ram\[50\]\[7\],25.21
_1038_,25.18
ram\[63\]\[4\],25.14
ram\[53\]\[7\],25.11
ram\[45\]\[6\],25.1
_0731_,24.8
ram\[61\]\[1\],24.62
_0786_,24.56
ram\[62\]\[2\],24.28
_0736_,24.14
_0883_,24.14
_1031_,24.02
_0864_,23.9
_0974_,23.56
ram\[37\]\[6\],23.38
_0725_,23.2
ram\[40\]\[2\],23.08
_0684_,22.86
_0790_,22.84
_0607_,22.82
ram\[17\]\[5\],22.58
ram\[27\]\[4\],22.42
_0740_,22.4
ram\[46\]\[6\],22.385
ram\[47\]\[1\],22.22
_0923_,22.14
ram\[45\]\[5\],22.14
_0814_,22.12
_1028_,21.94
_0831_,21.84
_0865_,21.84
_1200_,21.8
_0665_,21.78
ram\[40\]\[1\],21.76
ram\[38\]\[0\],21.74
ram\[60\]\[4\],21.74
_0958_,21.66
ram\[1\]\[4\],21.54
ram\[38\]\[3\],21.5
ram\[37\]\[3\],21.44
_0925_,21.28
_1008_,21.22
_0799_,21.14
ram\[2\]\[1\],21.05
_1041_,21.02
ram\[43\]\[0\],20.92
ram\[4\]\[4\],20.9
ram\[19\]\[5\],20.84
ram\[38\]\[7\],20.76
ram\[48\]\[6\],20.74
ram\[14\]\[1\],20.705
ram\[35\]\[3\],20.52
_0734_,20.46
_0857_,20.4
ram\[32\]\[3\],20.4
_0853_,20.34
ram\[32\]\[4\],20.32
ram\[54\]\[4\],20.21
_0717_,20.18
ram\[61\]\[7\],20.18
_0848_,20.1
_1044_,20.02
_0829_,20
ram\[17\]\[2\],19.97
ram\[35\]\[7\],19.92
ram\[22\]\[6\],19.785
ram\[24\]\[2\],19.78
_0817_,19.74
ram\[63\]\[7\],19.68
ram\[15\]\[5\],19.66
ram\[20\]\[0\],19.66
_0680_,19.54
_0688_,19.4
ram\[14\]\[3\],19.31
_1124_,19.2
net63,19.16
ram\[19\]\[0\],19.08
_1052_,19.06
ram\[35\]\[5\],19.02
ram\[8\]\[6\],19
ram\[29\]\[0\],18.82
ram\[56\]\[2\],18.78
ram\[61\]\[0\],18.78
ram\[49\]\[4\],18.76
ram\[43\]\[5\],18.7
_0932_,18.62
ram\[56\]\[5\],18.52
_0910_,18.48
ram\[0\]\[2\],18.44
_1588_,18.38
ram\[38\]\[4\],18.22
ram\[26\]\[2\],18.1
_1352_,18.06
ram\[58\]\[0\],17.99
ram\[57\]\[5\],17.98
ram\[52\]\[1\],17.96
ram\[11\]\[5\],17.94
ram\[7\]\[2\],17.94
ram\[0\]\[0\],17.88
ram\[15\]\[3\],17.86
_0846_,17.82
ram\[59\]\[3\],17.74
_0918_,17.7
ram\[61\]\[4\],17.68
ram\[2\]\[0\],17.625
ram\[12\]\[0\],17.58
ram\[3\]\[1\],17.58
ram\[63\]\[3\],17.56
_0780_,17.52
ram\[0\]\[4\],17.52
_0950_,17.48
ram\[15\]\[6\],17.48
ram\[44\]\[2\],17.36
_1027_,17.34
ram\[16\]\[1\],17.28
_0849_,17.22
ram\[27\]\[2\],17.2
_1046_,17.14
_1013_,17.12
_0847_,17.1
ram\[63\]\[5\],17.04
q[7],16.97
_0382_,16.945
ram\[37\]\[7\],16.94
ram\[45\]\[7\],16.94
ram\[34\]\[0\],16.89
_0987_,16.84
_0690_,16.82
ram\[50\]\[6\],16.79
ram\[58\]\[4\],16.705
ram\[33\]\[2\],16.7
ram\[40\]\[3\],16.7
ram\[8\]\[1\],16.7
ram\[30\]\[7\],16.68
ram\[55\]\[7\],16.68
ram\[59\]\[4\],16.66
ram\[14\]\[2\],16.585
_0661_,16.56
ram\[63\]\[1\],16.56
_0970_,16.54
ram\[0\]\[6\],16.46
ram\[2\]\[4\],16.45
_0775_,16.42
ram\[2\]\[5\],16.405
ram\[27\]\[5\],16.4
ram\[44\]\[7\],16.38
ram\[26\]\[6\],16.37
ram\[7\]\[1\],16.36
ram\[47\]\[5\],16.32
ram\[55\]\[6\],16.3
_0902_,16.26
_0900_,16.18
_0956_,16.18
ram\[0\]\[5\],16.14
ram\[32\]\[0\],16.14
ram\[46\]\[7\],16.105
ram\[28\]\[5\],16.08
ram\[56\]\[3\],16.06
ram\[12\]\[5\],16.04
_1351_,16
_0756_,15.84
