net,length_um
net50,8.3
ram\[47\]\[3\],8.28
net525,8.28
_0324_,8.265
_0526_,8.265
ram\[10\]\[6\],8.255
_1697_,8.24
ram\[4\]\[5\],8.24
_0121_,8.225
_0227_,8.225
_0389_,8.225
_0131_,8.22
_0686_,8.22
net168,8.22
_0765_,8.2
ram\[40\]\[5\],8.2
_0697_,8.16
_0845_,8.16
addr_reg\[5\],8.16
ram\[18\]\[5\],8.16
_0036_,8.155
_1309_,8.14
_1569_,8.14
ram\[23\]\[2\],8.14
_1182_,8.12
_0532_,8.1
_1231_,8.1
_1334_,8.1
_1418_,8.1
_1518_,8.1
net80,8.1
net368,8.1
ram\[29\]\[3\],8.08
_1206_,8.06
_1253_,8.06
_1263_,8.06
_1345_,8.06
_1363_,8.06
_1445_,8.06
_1484_,8.06
ram\[41\]\[3\],8.04
net38,8.04
ram\[29\]\[4\],8.03
_1556_,8.02
_0504_,8.005
ram\[33\]\[7\],8
ram\[51\]\[0\],8
net115,8
net411,8
_0830_,7.98
_1105_,7.98
_1380_,7.98
_1532_,7.98
_1706_,7.98
_1577_,7.96
_0681_,7.94
_0818_,7.94
_0840_,7.94
_0862_,7.94
_0994_,7.94
_1059_,7.94
_1074_,7.94
_1096_,7.94
_1134_,7.94
_1283_,7.94
_1481_,7.94
_1523_,7.94
_1694_,7.94
net430,7.94
net228,7.92
net246,7.92
net388,7.92
_0299_,7.905
_1614_,7.9
ram\[36\]\[5\],7.9
ram\[55\]\[4\],7.9
net197,7.88
ram\[11\]\[6\],7.86
ram\[21\]\[3\],7.86
_0490_,7.845
net55,7.84
net165,7.84
net304,7.84
net378,7.84
ram\[21\]\[0\],7.82
net326,7.82
net26,7.8
_0156_,7.78
ram\[12\]\[6\],7.78
ram\[23\]\[6\],7.78
_0155_,7.765
_1071_,7.74
ram\[22\]\[2\],7.74
ram\[29\]\[6\],7.74
ram\[6\]\[0\],7.74
_0592_,7.68
_1473_,7.68
_1607_,7.68
net321,7.68
ram\[30\]\[6\],7.66
ram\[43\]\[2\],7.66
ram\[25\]\[1\],7.64
net51,7.64
net266,7.64
net442,7.64
net512,7.64
ram\[54\]\[2\],7.63
_0229_,7.625
_0957_,7.62
_0433_,7.605
_0791_,7.6
_1145_,7.6
_1164_,7.6
_1237_,7.6
_1328_,7.6
net398,7.6
_1595_,7.58
_0008_,7.565
ram\[2\]\[3\],7.565
_0880_,7.56
ram\[10\]\[1\],7.56
ram\[21\]\[1\],7.56
ram\[41\]\[7\],7.56
ram\[11\]\[2\],7.555
_1061_,7.54
_0507_,7.525
ram\[34\]\[6\],7.525
ram\[54\]\[5\],7.525
_0972_,7.52
_0992_,7.52
_1055_,7.52
_1080_,7.52
_1169_,7.52
_1685_,7.52
ram\[53\]\[2\],7.52
net187,7.52
net207,7.52
_0633_,7.48
_1030_,7.48
_1324_,7.48
_1584_,7.48
_1603_,7.48
net305,7.46
net455,7.46
_0125_,7.445
_1156_,7.44
_1281_,7.44
_1416_,7.44
_1513_,7.44
_1679_,7.44
net72,7.44
_0064_,7.42
_1690_,7.42
net420,7.42
ram\[28\]\[0\],7.4
ram\[31\]\[0\],7.4
_0086_,7.385
_0091_,7.385
_0080_,7.355
_0104_,7.305
_0392_,7.305
net122,7.3
_0140_,7.275
_1218_,7.22
_1289_,7.22
_1335_,7.22
_1478_,7.22
_1475_,7.2
ram\[25\]\[0\],7.2
_0888_,7.18
_1147_,7.18
_1163_,7.18
_1401_,7.18
_1530_,7.18
_1557_,7.18
_1566_,7.18
ram\[17\]\[0\],7.18
ram\[28\]\[6\],7.18
ram\[44\]\[3\],7.18
ram\[57\]\[1\],7.18
_0565_,7.16
_0825_,7.16
_0538_,7.14
_0653_,7.14
_1047_,7.14
_1356_,7.14
_0636_,7.12
_0390_,7.105
_0720_,7.1
_0737_,7.1
_0988_,7.1
_1708_,7.1
_1712_,7.1
ram\[56\]\[7\],7.1
ram\[59\]\[7\],7.1
net49,7.1
net152,7.1
net287,7.1
ram\[1\]\[5\],7.08
_1106_,7.06
_1168_,7.06
_1674_,7.06
net25,7.06
net279,7.06
net301,7.06
_0110_,7.015
_0380_,7.015
net87,7
net313,7
net360,7
net513,7
_0558_,6.98
_0710_,6.98
_0927_,6.98
addr_reg\[1\],6.98
ram\[23\]\[1\],6.98
_0796_,6.96
net294,6.96
net380,6.96
_1007_,6.94
addr_reg\[2\],6.94
ram\[11\]\[7\],6.94
ram\[29\]\[2\],6.94
_0163_,6.925
_0336_,6.925
net106,6.92
net441,6.92
_0773_,6.9
_1022_,6.9
net108,6.9
net211,6.9
net277,6.9
_1298_,6.88
net48,6.88
net153,6.88
net324,6.86
ram\[62\]\[6\],6.85
_0063_,6.845
_0459_,6.845
_0469_,6.845
net204,6.84
_0245_,6.825
_0304_,6.825
net54,6.82
_0061_,6.785
_0430_,6.785
ram\[1\]\[6\],6.78
_0601_,6.76
_0650_,6.76
_1086_,6.76
_1318_,6.76
_1379_,6.76
_1534_,6.76
_1701_,6.76
net104,6.76
net475,6.76
_0666_,6.74
_1487_,6.74
ram\[24\]\[1\],6.74
_0414_,6.725
_0764_,6.72
_0872_,6.72
_0929_,6.72
_1021_,6.72
_1333_,6.72
ram\[31\]\[6\],6.72
ram\[5\]\[0\],6.72
net225,6.72
net302,6.72
net428,6.72
net481,6.72
_0523_,6.705
_1268_,6.7
_0007_,6.685
_0314_,6.685
_0820_,6.66
_1024_,6.66
_1677_,6.66
ram\[9\]\[2\],6.66
net342,6.66
_0224_,6.645
_0231_,6.645
_0742_,6.64
_0834_,6.64
_1097_,6.64
_1521_,6.64
_1583_,6.64
ram\[24\]\[5\],6.64
net436,6.64
net502,6.64
_0218_,6.625
_0305_,6.62
ram\[45\]\[2\],6.62
_0922_,6.6
_1170_,6.6
_1244_,6.6
_1493_,6.6
_1596_,6.6
_1687_,6.6
_1692_,6.6
ram\[48\]\[2\],6.6
net243,6.6
net267,6.6
_0137_,6.56
net82,6.54
net201,6.54
_0199_,6.5
ram\[24\]\[4\],6.5
ram\[48\]\[4\],6.5
net135,6.5
net216,6.5
net520,6.5
ram\[55\]\[5\],6.48
net343,6.44
_0014_,6.425
_0172_,6.425
_0432_,6.425
_0493_,6.405
_1040_,6.4
_1567_,6.4
net325,6.38
_0283_,6.365
_0317_,6.365
_0355_,6.365
_0388_,6.365
net143,6.36
_0210_,6.325
_0168_,6.32
_0642_,6.3
_0738_,6.3
_1101_,6.3
_1132_,6.3
_1185_,6.3
_1261_,6.3
_1304_,6.3
_1420_,6.3
_1491_,6.3
_1514_,6.3
_1561_,6.3
_1602_,6.3
_1604_,6.3
_1617_,6.3
ram\[51\]\[5\],6.3
net507,6.3
_0274_,6.285
_1459_,6.28
ram\[16\]\[2\],6.28
ram\[23\]\[7\],6.28
_0167_,6.265
_0273_,6.265
_0632_,6.26
_0748_,6.26
_0879_,6.26
_0904_,6.26
_1143_,6.26
_1175_,6.26
_1216_,6.26
_1405_,6.26
_1660_,6.26
ram\[19\]\[7\],6.26
ram\[28\]\[2\],6.26
ram\[42\]\[7\],6.26
net234,6.26
_0023_,6.225
_0412_,6.225
_0424_,6.225
_0471_,6.225
_0501_,6.225
_1680_,6.2
_0293_,6.185
_0327_,6.185
_0718_,6.18
_0779_,6.18
_0998_,6.18
_1140_,6.18
_1222_,6.18
_1269_,6.18
_1291_,6.18
_1302_,6.18
_1371_,6.18
_1526_,6.18
_1686_,6.18
ram\[24\]\[0\],6.18
net163,6.18
net293,6.18
net505,6.18
ram\[38\]\[2\],6.16
net406,6.16
_1154_,6.14
_1490_,6.14
_1597_,6.14
_1608_,6.14
net34,6.14
net39,6.14
net256,6.14
net166,6.08
net312,6.08
_0065_,6.065
_0319_,6.065
_1118_,6.06
_1383_,6.06
_0965_,6.04
net42,6.04
net57,6.04
net132,6.04
net316,6.04
net327,6.04
ram\[21\]\[5\],6.02
net379,6.02
_0340_,6.005
net73,5.98
net124,5.98
net308,5.98
net310,5.98
net319,5.98
net364,5.98
net443,5.98
net447,5.98
net487,5.98
_0062_,5.965
_0502_,5.965
_1612_,5.96
ram\[55\]\[1\],5.94
_0989_,5.92
_0425_,5.905
_0420_,5.895
_0964_,5.86
net359,5.86
_0669_,5.84
_0702_,5.84
_1165_,5.84
_1357_,5.84
_1711_,5.84
net515,5.84
ram\[4\]\[6\],5.82
_0487_,5.805
_0605_,5.8
_0884_,5.8
_1224_,5.8
_1264_,5.8
_1293_,5.8
_1368_,5.8
_1511_,5.8
_1632_,5.8
ram\[20\]\[3\],5.8
ram\[63\]\[0\],5.8
_0338_,5.795
_0221_,5.785
_0209_,5.78
_0094_,5.775
_0150_,5.765
_0222_,5.765
_0427_,5.765
_0439_,5.765
_1112_,5.74
_1541_,5.74
_1559_,5.74
_1157_,5.72
_1381_,5.72
_1425_,5.72
_1547_,5.72
_1575_,5.72
net220,5.72
net314,5.72
_0013_,5.705
_0429_,5.7
_0805_,5.68
_0926_,5.68
_1109_,5.68
_1297_,5.68
_1578_,5.68
_1666_,5.68
_1689_,5.68
_1713_,5.68
_0132_,5.665
_0147_,5.665
_0285_,5.645
_0466_,5.645
_0350_,5.62
_0393_,5.62
_0462_,5.62
_0030_,5.605
_0419_,5.605
_0470_,5.6
ram\[11\]\[4\],5.6
ram\[39\]\[3\],5.6
net151,5.6
_0161_,5.58
_0225_,5.58
net125,5.58
net376,5.58
net449,5.58
net491,5.58
net508,5.58
ram\[47\]\[6\],5.56
net249,5.56
_0344_,5.545
_0777_,5.52
_0827_,5.52
net233,5.52
net427,5.52
net458,5.52
net465,5.52
_0069_,5.505
_0617_,5.5
net162,5.5
net226,5.5
net414,5.5
net479,5.5
ram\[5\]\[1\],5.48
net159,5.48
net191,5.48
_0478_,5.465
_0491_,5.445
_0017_,5.435
_0204_,5.435
_0407_,5.435
_0510_,5.435
_1681_,5.435
_0342_,5.425
_0512_,5.425
_0973_,5.4
_0983_,5.38
_1034_,5.38
_1119_,5.38
_1189_,5.38
_1245_,5.38
_1258_,5.38
_1277_,5.38
_1443_,5.38
_1629_,5.38
_1714_,5.38
ram\[26\]\[4\],5.38
ram\[6\]\[6\],5.38
net485,5.38
_0832_,5.36
ram\[24\]\[7\],5.36
_0234_,5.345
_0454_,5.345
_0850_,5.34
_0967_,5.34
_1180_,5.34
_1228_,5.34
_1247_,5.34
_1427_,5.34
_1507_,5.34
_1536_,5.34
_1558_,5.34
_1627_,5.34
_1634_,5.34
net369,5.34
net460,5.34
_0408_,5.32
net495,5.3
_1197_,5.28
_1656_,5.28
_0280_,5.265
_0029_,5.26
_0622_,5.26
_0758_,5.26
_1102_,5.26
_1199_,5.26
_1350_,5.26
_1652_,5.26
_1662_,5.26
ram\[40\]\[7\],5.26
net31,5.26
net195,5.26
net284,5.26
net356,5.26
_0102_,5.24
_0505_,5.24
_1012_,5.24
_0522_,5.22
_0539_,5.22
_0735_,5.22
_0903_,5.22
_1193_,5.22
_1372_,5.22
_1394_,5.22
_1413_,5.22
_1414_,5.22
_1435_,5.22
_1653_,5.22
_1693_,5.22
net86,5.22
net120,5.22
net318,5.22
addr[5],5.19
_0325_,5.16
net53,5.16
net224,5.16
net286,5.16
net288,5.16
net387,5.16
net453,5.16
_0458_,5.145
net352,5.14
net59,5.12
net157,5.12
net283,5.12
net438,5.12
net497,5.12
net509,5.12
_0040_,5.095
_0297_,5.095
_0153_,5.085
_0179_,5.085
_0236_,5.085
_0341_,5.085
_0483_,5.085
net215,5.06
net472,5.06
_0176_,5.045
net496,5.04
ram\[20\]\[4\],5.02
_0514_,5.005
_0557_,5
_0022_,4.985
_0183_,4.985
_0312_,4.985
_0009_,4.975
_0436_,4.975
_0448_,4.975
_0854_,4.94
_0977_,4.94
_1123_,4.92
_1136_,4.92
_1392_,4.92
_1433_,4.92
_1436_,4.92
_1460_,4.92
_1525_,4.92
_1562_,4.92
_1663_,4.92
_1704_,4.92
ram\[38\]\[5\],4.92
net223,4.92
net320,4.92
net403,4.92
_0951_,4.9
ram\[4\]\[7\],4.9
_0391_,4.885
_0536_,4.88
_0572_,4.88
_0861_,4.88
_0897_,4.88
_0959_,4.88
_1063_,4.88
_1219_,4.88
_1223_,4.88
_1275_,4.88
_1292_,4.88
_1353_,4.88
_1437_,4.88
_1438_,4.88
_1476_,4.88
net486,4.88
_0142_,4.845
_0143_,4.845
_0395_,4.845
_0423_,4.845
_0843_,4.82
_1280_,4.82
_1424_,4.82
_1590_,4.82
_0860_,4.8
_1251_,4.8
_1326_,4.8
_1361_,4.8
_1409_,4.8
_1472_,4.8
_1587_,4.8
ram\[7\]\[6\],4.8
net64,4.8
net112,4.8
net130,4.8
net148,4.8
net244,4.8
net521,4.8
_0006_,4.795
_0749_,4.76
_0771_,4.76
_1213_,4.76
_1255_,4.76
_1284_,4.76
_1373_,4.76
_1374_,4.76
_1389_,4.76
_1390_,4.76
_1623_,4.76
_0499_,4.74
_0230_,4.725
_0134_,4.7
_0416_,4.7
_0610_,4.7
net156,4.7
net196,4.7
net334,4.7
net370,4.7
net397,4.7
_0028_,4.695
_1337_,4.68
_1668_,4.68
ram\[10\]\[7\],4.68
net384,4.68
_0747_,4.66
_0807_,4.66
net78,4.66
net248,4.66
_0253_,4.635
_0343_,4.635
_0090_,4.625
_0347_,4.605
_0472_,4.605
_0020_,4.585
_0100_,4.585
net471,4.58
_0873_,4.56
_0961_,4.56
_0460_,4.555
_0898_,4.54
_0012_,4.525
_0041_,4.525
_0358_,4.525
_0494_,4.525
_0695_,4.48
_0812_,4.46
_0866_,4.46
_1069_,4.46
_1288_,4.46
_1444_,4.46
_1453_,4.46
_1505_,4.46
_1633_,4.46
_1638_,4.46
_1644_,4.46
_1715_,4.46
ram\[11\]\[3\],4.46
net103,4.46
net219,4.46
net484,4.46
_0223_,4.425
_0437_,4.425
_0468_,4.425
_0640_,4.42
_0722_,4.42
_1108_,4.42
_1209_,4.42
_1305_,4.42
_1339_,4.42
_1467_,4.42
_1527_,4.42
_1531_,4.42
_1565_,4.42
_1643_,4.42
net98,4.42
_0146_,4.385
_0151_,4.385
_0162_,4.385
_0415_,4.385
_0139_,4.36
_1011_,4.36
_1103_,4.36
net526,4.36
_0035_,4.34
_0899_,4.34
_1003_,4.34
_1626_,4.34
net40,4.34
net390,4.34
_0122_,4.325
_0368_,4.295
_0083_,4.265
_0335_,4.265
_0282_,4.26
net90,4.24
net160,4.24
net480,4.24
ram\[40\]\[6\],4.22
_1236_,4.2
net68,4.2
net107,4.2
net142,4.2
net236,4.2
net415,4.2
_0261_,4.165
_0332_,4.165
_0446_,4.145
_0869_,4.14
net30,4.14
net145,4.14
net164,4.14
_0031_,4.125
_1093_,4.12
net158,4.12
_0174_,4.095
_0920_,4.08
net416,4.02
_0603_,4
_0886_,4
_0940_,4
_1241_,4
_1336_,4
_1385_,4
_1474_,4
_1529_,4
_1717_,4
ram\[42\]\[6\],4
ram\[43\]\[1\],4
ram\[62\]\[5\],4
ram\[6\]\[1\],4
net396,4
net523,4
ram\[13\]\[1\],3.98
_0133_,3.965
_0367_,3.965
_0045_,3.925
_0057_,3.925
_0267_,3.925
_0329_,3.925
_0379_,3.925
_0159_,3.9
_0506_,3.9
_0655_,3.9
_0874_,3.9
_1144_,3.9
_1174_,3.9
_1522_,3.9
_1543_,3.9
_1615_,3.9
_0675_,3.88
_0954_,3.88
_1142_,3.88
_1235_,3.88
_1278_,3.88
_1378_,3.88
_1382_,3.88
_1403_,3.88
_1440_,3.88
_1477_,3.88
_1535_,3.88
ram\[36\]\[6\],3.88
net75,3.88
net111,3.88
net175,3.88
net192,3.88
net299,3.88
net317,3.88
net362,3.88
_0966_,3.86
_0171_,3.805
_0136_,3.78
_0158_,3.78
_0217_,3.78
_0250_,3.78
_0310_,3.78
_0354_,3.78
_0484_,3.78
net36,3.78
net47,3.78
net74,3.78
net126,3.78
net172,3.78
net386,3.78
net405,3.78
net444,3.78
net482,3.78
_0774_,3.76
_1458_,3.76
_1718_,3.76
net429,3.76
_1099_,3.74
net94,3.74
net205,3.74
net501,3.74
_0088_,3.705
_0289_,3.705
_0620_,3.68
net29,3.68
net295,3.68
net393,3.68
net412,3.68
_0662_,3.66
_0787_,3.64
net102,3.64
net110,3.64
_0266_,3.625
_0215_,3.605
_0116_,3.585
addr_reg\[0\],3.56
addr_reg\[4\],3.56
net150,3.56
_0574_,3.54
_0908_,3.54
_1025_,3.54
_1043_,3.54
_1129_,3.54
_1214_,3.54
_1287_,3.54
_1456_,3.54
net161,3.54
net188,3.54
net212,3.54
net281,3.54
net290,3.54
net478,3.54
net493,3.54
net503,3.54
_0027_,3.505
_0070_,3.505
_0085_,3.505
_0352_,3.505
_0373_,3.505
_0405_,3.505
_0428_,3.505
_0058_,3.485
_0079_,3.465
_0117_,3.465
_0237_,3.465
_0320_,3.465
_0353_,3.465
_0374_,3.465
_0196_,3.44
_0278_,3.44
_1067_,3.44
_1084_,3.44
_1146_,3.44
_1177_,3.44
_1465_,3.44
_1625_,3.44
_1631_,3.44
_1635_,3.44
_0679_,3.42
_0785_,3.42
_0800_,3.42
_1006_,3.42
_1242_,3.42
_1387_,3.42
_1439_,3.42
_1483_,3.42
_1524_,3.42
_1533_,3.42
_1659_,3.42
net46,3.42
net56,3.42
net84,3.42
net147,3.42
net263,3.42
net395,3.42
_1605_,3.4
_0138_,3.375
_0182_,3.345
_0055_,3.34
_0180_,3.34
_0093_,3.32
_0450_,3.32
_0508_,3.32
net61,3.32
net91,3.32
net128,3.32
net174,3.32
net251,3.32
net258,3.32
net323,3.32
net353,3.32
net382,3.32
net129,3.3
_0032_,3.245
_0118_,3.245
_0149_,3.245
_0272_,3.245
_0348_,3.245
_0509_,3.225
net101,3.22
net208,3.22
net272,3.22
net351,3.22
net361,3.22
net366,3.22
net466,3.22
net494,3.22
net336,3.2
_0214_,3.175
_0239_,3.175
_0401_,3.175
_0524_,3.175
_0195_,3.165
_0464_,3.165
_0202_,3.125
_0726_,3.1
_0789_,3.1
_0841_,3.1
_0946_,3.1
_0534_,3.08
_0541_,3.08
_0677_,3.08
_0792_,3.08
_0808_,3.08
_0813_,3.08
_1035_,3.08
_1316_,3.08
_1320_,3.08
_1354_,3.08
_1362_,3.08
_1434_,3.08
_1485_,3.08
_1594_,3.08
_1600_,3.08
_1641_,3.08
_1651_,3.08
_1672_,3.08
net76,3.08
net109,3.08
net446,3.08
net510,3.08
net522,3.08
_1042_,3.06
_0018_,3.045
_0049_,3.045
_0050_,3.045
_0072_,3.045
_0111_,3.045
_0356_,3.045
_0366_,3.045
_0461_,3.045
_0201_,3.005
_0206_,3.005
_0413_,3.005
_0426_,3.005
_0108_,2.98
_0385_,2.98
_0766_,2.98
_0856_,2.98
_1110_,2.98
_1155_,2.98
_1167_,2.98
_1221_,2.98
_1250_,2.98
_1274_,2.98
_1494_,2.98
_1501_,2.98
_1573_,2.98
_1574_,2.98
_1648_,2.98
net276,2.98
_0668_,2.96
_0723_,2.96
_0739_,2.96
_0833_,2.96
_1204_,2.96
_1300_,2.96
_1347_,2.96
_1568_,2.96
_1707_,2.96
_1720_,2.96
net88,2.96
net298,2.96
_0073_,2.945
_0185_,2.945
_0220_,2.945
_0068_,2.885
_0216_,2.885
_0269_,2.885
_0334_,2.885
_0396_,2.885
_0034_,2.88
_0092_,2.88
_0095_,2.88
_0290_,2.88
_0339_,2.88
_0346_,2.88
_0409_,2.88
_0495_,2.88
_0528_,2.88
_0112_,2.86
_0124_,2.86
_0265_,2.86
_0488_,2.86
net28,2.86
net85,2.86
net123,2.86
net365,2.86
net385,2.86
net404,2.86
net499,2.86
_0078_,2.835
_0130_,2.835
_0016_,2.785
_0039_,2.785
_0089_,2.785
_0203_,2.785
_0226_,2.785
_0233_,2.785
_0520_,2.785
_0705_,2.76
net33,2.76
net113,2.76
net127,2.76
net140,2.76
net200,2.76
net203,2.76
net210,2.76
net265,2.76
net268,2.76
net311,2.76
net339,2.76
net400,2.76
net424,2.76
net451,2.76
net476,2.76
net477,2.76
net516,2.76
net517,2.76
net518,2.76
net524,2.76
net250,2.74
_0024_,2.715
_0056_,2.715
_0213_,2.715
_0228_,2.715
_0268_,2.715
_0492_,2.715
_0417_,2.705
_0445_,2.705
_0119_,2.665
_0732_,2.64
_0802_,2.64
_0753_,2.62
_0867_,2.62
_1191_,2.62
_1295_,2.62
_1330_,2.62
_1585_,2.62
_1589_,2.62
_1624_,2.62
_1703_,2.62
net121,2.62
net139,2.62
net285,2.62
net357,2.62
_0053_,2.595
_0242_,2.595
_0255_,2.595
_0271_,2.595
_0311_,2.595
_0518_,2.595
_0043_,2.585
_0037_,2.545
_0081_,2.545
_0087_,2.545
_0096_,2.545
_0098_,2.545
_0109_,2.545
_0160_,2.545
_0238_,2.545
_0240_,2.545
_0241_,2.545
_0256_,2.545
_0315_,2.545
_0359_,2.545
_0400_,2.545
_0496_,2.545
_0498_,2.545
_0010_,2.52
_0076_,2.52
_0263_,2.52
_0441_,2.52
_0801_,2.52
_1111_,2.52
_1117_,2.52
_1195_,2.52
_1225_,2.52
_1232_,2.52
_1384_,2.52
_1417_,2.52
_1455_,2.52
_1469_,2.52
_1688_,2.52
_0587_,2.5
_0646_,2.5
_0754_,2.5
_0901_,2.5
_1286_,2.5
_1290_,2.5
_1308_,2.5
_1549_,2.5
_1564_,2.5
addr_reg\[3\],2.5
net137,2.5
net169,2.5
net182,2.5
net184,2.5
net394,2.5
net426,2.5
_0127_,2.485
_0129_,2.485
_0173_,2.485
_0318_,2.485
_0455_,2.485
_0465_,2.485
_0521_,2.485
_0025_,2.425
_0015_,2.42
_0019_,2.42
_0148_,2.42
_0175_,2.42
_0235_,2.42
_0244_,2.42
_0247_,2.42
_0249_,2.42
_0277_,2.42
_0301_,2.42
_0365_,2.42
_0369_,2.42
_0378_,2.42
_0386_,2.42
_0387_,2.42
_0442_,2.42
_0444_,2.42
_0452_,2.42
_0453_,2.42
_0463_,2.42
_0474_,2.42
_0993_,2.4
_1246_,2.4
net96,2.4
net133,2.4
net149,2.4
net180,2.4
net185,2.4
net232,2.4
net262,2.4
net348,2.4
net374,2.4
net408,2.4
net462,2.4
net488,2.4
_0067_,2.375
_0123_,2.375
_0205_,2.375
_0097_,2.325
_0181_,2.325
_0189_,2.325
_0194_,2.325
_0200_,2.325
_0288_,2.325
_0294_,2.325
_0371_,2.325
_0422_,2.325
_0578_,2.3
_0819_,2.3
_0909_,2.3
_0979_,2.3
_1036_,2.3
net37,2.3
net52,2.3
net62,2.3
net65,2.3
net66,2.3
net77,2.3
net81,2.3
net93,2.3
net97,2.3
net105,2.3
net117,2.3
net136,2.3
net146,2.3
net154,2.3
net177,2.3
net178,2.3
net179,2.3
net183,2.3
net186,2.3
net190,2.3
net214,2.3
net217,2.3
net222,2.3
net227,2.3
net231,2.3
net237,2.3
net238,2.3
net241,2.3
net253,2.3
net257,2.3
net264,2.3
net270,2.3
net275,2.3
net289,2.3
net322,2.3
net328,2.3
net330,2.3
net331,2.3
net332,2.3
net338,2.3
net344,2.3
net346,2.3
net349,2.3
net350,2.3
net363,2.3
net381,2.3
net409,2.3
net422,2.3
net425,2.3
net445,2.3
net450,2.3
net468,2.3
net489,2.3
_0859_,2.28
_0913_,2.28
net41,2.28
_0114_,2.26
_0337_,2.255
_0375_,2.255
_0497_,2.255
_0519_,2.255
_0276_,2.225
_0457_,2.205
_0933_,2.18
_0682_,2.16
_0709_,2.16
_0778_,2.16
_0978_,2.16
_1207_,2.16
_1457_,2.16
_1497_,2.16
_1506_,2.16
_1606_,2.16
_1620_,2.16
_1684_,2.16
_1722_,2.16
net181,2.16
net421,2.16
net423,2.16
_0251_,2.135
_0120_,2.125
_0191_,2.125
_0208_,2.125
_0252_,2.125
_0262_,2.125
_0264_,2.125
_0394_,2.125
_0402_,2.125
_0482_,2.125
_1609_,2.1
_0048_,2.085
_0071_,2.085
_0082_,2.085
_0126_,2.085
_0170_,2.085
_0286_,2.085
_0372_,2.085
_0406_,2.085
_0411_,2.085
_0421_,2.085
_0485_,2.085
_0486_,2.085
_0489_,2.085
_0515_,2.085
_0051_,2.08
_0364_,2.08
_0399_,2.06
_0683_,2.06
_0985_,2.06
_1078_,2.06
_1122_,2.06
_1141_,2.06
_1240_,2.06
_1256_,2.06
_1341_,2.06
_1415_,2.06
_1419_,2.06
_1486_,2.06
_1515_,2.06
_1516_,2.06
_1560_,2.06
_1571_,2.06
_1586_,2.06
_1647_,2.06
_1665_,2.06
_1716_,2.06
_0928_,2.05
_0580_,2.04
_0986_,2.04
_1023_,2.04
_1076_,2.04
_1388_,2.04
_1462_,2.04
_1616_,2.04
net371,2.04
net401,2.04
_0021_,2.035
_0316_,2.035
_0044_,2.025
_0046_,2.025
_0047_,2.025
_0059_,2.025
_0060_,2.025
_0074_,2.025
_0084_,2.025
_0099_,2.025
_0152_,2.025
_0157_,2.025
_0164_,2.025
_0165_,2.025
_0169_,2.025
_0177_,2.025
_0187_,2.025
_0190_,2.025
_0197_,2.025
_0198_,2.025
_0211_,2.025
_0219_,2.025
_0246_,2.025
_0248_,2.025
_0257_,2.025
_0284_,2.025
_0287_,2.025
_0291_,2.025
_0292_,2.025
_0298_,2.025
_0300_,2.025
_0306_,2.025
_0307_,2.025
_0309_,2.025
_0321_,2.025
_0322_,2.025
_0328_,2.025
_0333_,2.025
_0349_,2.025
_0360_,2.025
_0361_,2.025
_0362_,2.025
_0376_,2.025
_0398_,2.025
_0403_,2.025
_0431_,2.025
_0435_,2.025
_0438_,2.025
_0456_,2.025
_0475_,2.025
_0479_,2.025
_0480_,2.025
_0481_,2.025
_0500_,2.025
_0511_,2.025
_0516_,2.025
_0517_,2.025
_0529_,2.025
net44,1.94
net60,1.94
net89,1.94
net155,1.94
net171,1.94
net198,1.94
net255,1.94
net260,1.94
net271,1.94
net296,1.94
net335,1.94
net341,1.94
net347,1.94
net367,1.94
net391,1.94
net434,1.94
net474,1.94
net498,1.94
_0664_,1.93
_0363_,1.915
_0033_,1.865
_0038_,1.865
_0054_,1.865
_0077_,1.865
_0128_,1.865
_0135_,1.865
_0141_,1.865
_0144_,1.865
_0145_,1.865
_0154_,1.865
_0166_,1.865
_0184_,1.865
_0192_,1.865
_0207_,1.865
_0232_,1.865
_0254_,1.865
_0270_,1.865
_0275_,1.865
_0295_,1.865
_0302_,1.865
_0313_,1.865
_0351_,1.865
_0357_,1.865
_0377_,1.865
_0434_,1.865
_0443_,1.865
_0467_,1.865
_0473_,1.865
_0503_,1.865
_0741_,1.84
net35,1.84
net45,1.84
net58,1.84
net71,1.84
net79,1.84
net83,1.84
net95,1.84
net99,1.84
net119,1.84
net131,1.84
net134,1.84
net144,1.84
net173,1.84
net189,1.84
net194,1.84
net206,1.84
net209,1.84
net240,1.84
net245,1.84
net247,1.84
net252,1.84
net259,1.84
net269,1.84
net303,1.84
net306,1.84
net329,1.84
net333,1.84
net340,1.84
net345,1.84
net354,1.84
net355,1.84
net358,1.84
net375,1.84
net383,1.84
net389,1.84
net413,1.84
net417,1.84
net419,1.84
net431,1.84
net432,1.84
net435,1.84
net437,1.84
net439,1.84
net454,1.84
net459,1.84
net461,1.84
net467,1.84
net469,1.84
net470,1.84
net473,1.84
net490,1.84
net492,1.84
net506,1.84
net511,1.84
net527,1.84
net529,1.84
net531,1.84
_0999_,1.72
_1249_,1.7
_1359_,1.7
_1429_,1.7
net377,1.7
_1151_,1.6
_1153_,1.6
_1176_,1.6
_1243_,1.6
_1279_,1.6
_1296_,1.6
_1310_,1.6
_1332_,1.6
_1340_,1.6
_1355_,1.6
_1369_,1.6
_1370_,1.6
_1446_,1.6
_1539_,1.6
_1719_,1.6
_0449_,1.575
_0855_,1.48
_1135_,1.48
net202,1.48
net273,1.48
net278,1.48
net292,1.48
net300,1.48
